Category,Country,off_country_id,country code,category_exists_in_taxonomy,Is_needed_a_recipe ? Mano,Hunger Games link,code,Scan & photo a new one,Contributor name
en:plant-based-spreads,Ireland,en:ireland,ie,1,Yes,Categorize existing one,5011037611195,To do,
en:vegetarian-spreads-with-meat-like-pieces,Ireland,en:ireland,ie,1,Yes,Categorize existing one,,To do,
en:vegan-vegetable-spreads,Ireland,en:ireland,ie,1,Yes,Categorize existing one,,To do,
en:Veganes Zwiebelschmalz,Ireland,en:ireland,ie,0,Yes,Categorize existing one,,To do,
en:soy-based-drinks,Ireland,en:ireland,ie,1,Yes,Categorize existing one,5411188103387,To do,
en:gravy,Ireland,en:ireland,ie,1,Yes,Categorize existing one,5000354919534,To do,
en:curry-sauces,Ireland,en:ireland,ie,1,Yes,Categorize existing one,4088600050713,To do,
en:mayonnaises,Ireland,en:ireland,ie,1,Yes,Categorize existing one,5000184321071,To do,
en:mixed-vegetable-pickles,Ireland,en:ireland,ie,1,Yes,Categorize existing one,,To do,
en:mustard-sauces,Ireland,en:ireland,ie,1,Yes,Categorize existing one,4012860993411,To do,
en:mustards,Ireland,en:ireland,ie,1,Yes,Categorize existing one,50147588,To do,
en:condiments,Ireland,en:ireland,ie,1,Yes,Categorize existing one,50457236,To do,
en:salad-dressings,Ireland,en:ireland,ie,1,Yes,Categorize existing one,8722700479475,To do,
en:soy-sauces,Ireland,en:ireland,ie,1,Yes,Categorize existing one,8715035110106,To do,
en:ketchup,Ireland,en:ireland,ie,1,Yes,Categorize existing one,50457236,To do,
en:tomato-sauces,Ireland,en:ireland,ie,1,Yes,Categorize existing one,50457236,To do,
en:vinegars,Ireland,en:ireland,ie,1,Yes,Categorize existing one,5391507731418,To do,
en:gravy,Ireland,en:ireland,ie,1,Yes,Categorize existing one,5000354919534,To do,
en:poultry-broth,Ireland,en:ireland,ie,1,Yes,Categorize existing one,5000184161028,To do,
en:vegetable-bouillon-cubes,Ireland,en:ireland,ie,1,Yes,Categorize existing one,8712566479368,To do,
en:curry-powders,Ireland,en:ireland,ie,1,Yes,Categorize existing one,4088600050713,To do,
en:mixtures-of-herbs-and-spices,Ireland,en:ireland,ie,1,Yes,Categorize existing one,5099874307204,To do,
en:bonbons,Ireland,en:ireland,ie,1,Yes,Categorize existing one,4056489834267,To do,
en:hard-candies,Ireland,en:ireland,ie,1,Yes,Categorize existing one,5052320529698,To do,
en:gummi-candies,Ireland,en:ireland,ie,1,Yes,Categorize existing one,5012035969301,To do,
en:milk-chocolates,Ireland,en:ireland,ie,1,Yes,Categorize existing one,7622210580092,To do,
en:canned-sweet-corn,Ireland,en:ireland,ie,1,Yes,Categorize existing one,29061334,To do,
en:canned-tomato-purees,Ireland,en:ireland,ie,1,Yes,Categorize existing one,,To do,
en:flavoured-syrups,Ireland,en:ireland,ie,1,Maybe,Categorize existing one,9100000115122,To do,
en:colas,Ireland,en:ireland,ie,1,Yes,Categorize existing one,5000112633320,To do,
en:diet-cola-soft-drink,Ireland,en:ireland,ie,1,Yes,Categorize existing one,5000112630671,To do,
en:energy-drinks,Ireland,en:ireland,ie,1,Yes,Categorize existing one,5061013947565,To do,
en:lemon-soft-drinks,Ireland,en:ireland,ie,1,Yes,Categorize existing one,,To do,
en:orange-soft-drinks,Ireland,en:ireland,ie,1,Yes,Categorize existing one,5449000155306,To do,
en:still-fruit-soft-drink-with-sugar-and-with-less-than-10-of-fruit-juice,Ireland,en:ireland,ie,1,Yes,Categorize existing one,5010102117860,To do,
en:still-soft-drinks,Ireland,en:ireland,ie,1,Yes,Categorize existing one,,To do,
